,DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
298,2019-03-17 11:33:57,B11543,908.0,-22.866137,-43.356544,0.0
299,2019-03-17 11:34:04,B44618,,-22.860491,-43.355591,0.0
300,2019-03-17 11:34:08,B10561,627.0,-22.836929,-43.269729999999996,0.0
301,2019-03-17 11:34:08,B27159,639.0,-22.81772,-43.301819,0.0
302,2019-03-17 11:34:15,B42551,457.0,-22.87627,-43.330059000000006,0.0
303,2019-03-17 11:34:22,B10536,,-22.868401000000002,-43.25713,0.0
304,2019-03-17 11:34:28,B32633,793.0,-22.817631,-43.393139,0.0
305,2019-03-17 11:34:31,B25501,,-22.902719,-43.297740999999995,0.0
306,2019-03-17 11:34:35,B44636,,-22.86064,-43.355881,0.0
307,2019-03-17 11:34:39,B44690,,-22.860848999999998,-43.35577,0.0
308,2019-03-17 11:34:41,B10148,910.0,-22.788892999999998,-43.162205,0.0
309,2019-03-17 11:34:44,B10006,910.0,-22.814664999999998,-43.187271,0.0
310,2019-03-17 11:34:45,B32741,793.0,-22.817439999999998,-43.393608,0.0
311,2019-03-17 11:34:48,B32665,298.0,-22.815599,-43.387161,0.0
312,2019-03-17 11:34:50,B27009,355.0,-22.817739000000003,-43.301868,0.0
313,2019-03-17 11:34:51,B10538,630.0,-22.867649,-43.256828000000006,0.0
314,2019-03-17 11:34:53,B42510,254.0,-22.87624,-43.330002,0.0
315,2019-03-17 11:34:59,B10001,634.0,-22.815626,-43.186939,0.0
316,2019-03-17 11:35:02,B10138,328.0,-22.815039000000002,-43.186958000000004,0.0
317,2019-03-17 11:35:03,B32728,298.0,-22.816059,-43.394562,0.0
318,2019-03-17 11:35:07,B42583,650.0,-22.86025,-43.371632,0.0
319,2019-03-17 11:35:07,B71087,247.0,-22.888542,-43.291897,0.37
320,2019-03-17 11:35:08,B44561,,-22.86063,-43.35601,0.0
321,2019-03-17 11:35:10,B31096,,-22.804279,-43.31126,0.0
322,2019-03-17 11:35:11,B10060,913.0,-22.815292000000003,-43.186916,0.0
323,2019-03-17 11:35:11,B11579,669.0,-22.811506,-43.372791,0.0
324,2019-03-17 11:35:13,B31159,,-22.804939,-43.309428999999994,0.0
325,2019-03-17 11:35:23,B28597,326.0,-22.814619,-43.188641,0.0
326,2019-03-17 11:35:23,B44652,,-22.86038,-43.356097999999996,0.0
327,2019-03-17 11:35:35,B28726,2344.0,-22.814449,-43.18895,0.0
328,2019-03-17 11:35:35,D13323,801.0,-22.876369,-43.420219,0.0
329,2019-03-17 11:35:37,B27161,905.0,-22.81683,-43.301552,0.0
330,2019-03-17 11:35:38,B28537,325.0,-22.81525,-43.188159999999996,0.0
331,2019-03-17 11:35:45,B11644,669.0,-22.811306,-43.372355999999996,0.0
332,2019-03-17 11:35:48,B11556,908.0,-22.866660999999997,-43.355511,0.0
333,2019-03-17 11:35:53,B28743,2344.0,-22.814211,-43.1889,0.0
334,2019-03-17 11:35:59,B42541,,-22.87623,-43.329929,0.0
335,2019-03-17 11:36:08,B42668,,-22.87631,-43.329491,0.0
336,2019-03-17 11:36:10,B32599,298.0,-22.818119,-43.393101,0.0
337,2019-03-17 11:36:11,B32710,665.0,-22.815120999999998,-43.386902,0.0
338,2019-03-17 11:36:11,C47607,600.0,-22.923401000000002,-43.29361,46.0
339,2019-03-17 11:36:14,B32521,795.0,-22.81559,-43.386798999999996,0.0
340,2019-03-17 11:36:15,B10143,910.0,-22.814732,-43.187481,0.0
341,2019-03-17 11:36:17,B25536,,-22.902081,-43.298759000000004,0.0
342,2019-03-17 11:36:17,B32646,342.0,-22.810801,-43.329651,0.0
343,2019-03-17 11:36:19,B11504,378.0,-22.865772,-43.357037,0.0
344,2019-03-17 11:36:21,C44569,,-22.860201,-43.356628,0.0
345,2019-03-17 11:36:22,B32620,265.0,-22.8162,-43.394669,0.0
346,2019-03-17 11:36:23,B28544,329.0,-22.81472,-43.188309000000004,7.0
347,2019-03-17 11:36:27,B44535,,-22.86042,-43.35611,0.0
348,2019-03-17 11:36:29,B10541,,-22.868139000000003,-43.257290000000005,0.0
349,2019-03-17 11:36:31,B28710,2344.0,-22.814581,-43.188671,0.0
350,2019-03-17 11:36:34,B27051,629.0,-22.825211,-43.331959000000005,0.0
351,2019-03-17 11:36:36,B32689,688.0,-22.816311,-43.394489,0.0
352,2019-03-17 11:36:37,B42626,,-22.87639,-43.330021,0.0
353,2019-03-17 11:36:42,B11640,773.0,-22.811370999999998,-43.372261,0.37
