"aisp";"mes";"vano";"nome_comandante_bpm"
30;2;2003;"TEN CEL ROBSON JOSÉ CARDOSO CABRAL"
31;2;2003;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
32;2;2003;"TEN CEL CELSO LACERDA NOGUEIRA"
33;2;2003;"TEN CEL MANOEL PARANHOS CÂMARA"
34;2;2003;"TEN CEL JÚLIO CESAR RAMOS"
35;2;2003;"TEN CEL MARCUS JARDIM GONÇALVES"
36;2;2003;"TEN CEL CARLOS ALBERTO DE ANDRADE"
37;2;2003;"TEN CEL CELSO DE ARAÚJO"
38;2;2003;"TEN CEL MARCOS FAZIO CORREA"
1;3;2003;"TEN CEL MARCOS ALEXANDRE SANTOS DE ALMEIDA"
2;3;2003;"TEN CEL HIRAN JORGE FIGUEIREDO DE CARVALHO"
3;3;2003;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;3;2003;"TEN CEL ERIR RIBEIRO COSTA FILHO"
5;3;2003;"TEN CEL VILMAR DIAS"
6;3;2003;"TEN CEL FRANCISCO MURILO LEITE LIRA"
7;3;2003;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;3;2003;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;3;2003;"CEL CARLOS AUGUSTO CARRIJO DA SILVA"
10;3;2003;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;3;2003;"CEL JOSÉ ALBERTO M DA FONSECA"
12;3;2003;"TEN CEL CESAR RUBENS MONTEIRO DE CARVALHO"
13;3;2003;"TEN CEL GIOVANE CARIPRECE NETO"
14;3;2003;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;3;2003;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;3;2003;"TEN CEL LOURENÇO PACHECO MARTINS"
17;3;2003;"TEN CEL PEDRO PAULO DA SILVA"
18;3;2003;"TEN CEL RENATO FIALHO ESTEVES"
19;3;2003;"TEN CEL DARIO CONY DOS SANTOS"
20;3;2003;"CEL FRANCISCO D' AMBRÓSIO"
21;3;2003;"TEN CEL ROBERTO DE OLIVEIRA PENTEADO"
22;3;2003;"CEL MAURÍCIO VEIRA BEZERRA"
23;3;2003;"TEN CEL JOSÉ MÁRIO AUGUSTO DE SÁ FREIRE"
24;3;2003;"CEL ALMIR DA COSTA"
25;3;2003;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;3;2003;"TEN CEL LUIZ CLÁUDIO CALIXTO BARBOSA"
27;3;2003;"TEN CEL JORGE LUIZ RAMOS"
28;3;2003;"TEN CEL JORGE SÉRGIO DE FREITAS"
29;3;2003;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;3;2003;"TEN CEL ROBSON JOSÉ CARDOSO CABRAL"
31;3;2003;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
32;3;2003;"TEN CEL CELSO LACERDA NOGUEIRA"
33;3;2003;"TEN CEL MANOEL PARANHOS CÂMARA"
34;3;2003;"TEN CEL JÚLIO CESAR RAMOS"
35;3;2003;"TEN CEL MARCUS JARDIM GONÇALVES"
36;3;2003;"TEN CEL CARLOS ALBERTO DE ANDRADE"
37;3;2003;"TEN CEL CELSO DE ARAÚJO"
38;3;2003;"TEN CEL MARCOS FAZIO CORREA"
39;3;2003;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;4;2003;"TEN CEL MARCOS ALEXANDRE SANTOS DE ALMEIDA"
2;4;2003;"TEN CEL HIRAN JORGE FIGUEIREDO DE CARVALHO"
3;4;2003;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;4;2003;"TEN CEL ERIR RIBEIRO COSTA FILHO"
5;4;2003;"TEN CEL VILMAR DIAS"
6;4;2003;"TEN CEL FRANCISCO MURILO LEITE LIRA"
